name,business_category,lat,lon,address,pkd,regon,nip,status,competitors_1km,competitors_3km,competitors_5km,population_density,income_level,accessibility_score,rental_cost,source,employees
Halagarda,handel,50.0164133,20.0063703,,bakery,,,active,14,35,72,126.08957524112964,56534.5651173476,0.6534565117347599,2693.08697653048,OSM,18
Ignacy Polański,handel,50.0495379,19.9645802,,bakery,,,active,6,41,92,313.47424025492063,58904.97260765862,0.8904972607658624,2219.005478468275,OSM,2
Buczek,handel,49.9940146,20.0537802,,bakery,,,active,0,10,36,82.9713038406533,54473.820141958335,0.44738201419583346,3105.235971608333,OSM,6
"Piekarnia ""Chleb z masłem""",handel,49.9983637,20.0217526,,bakery,,,active,0,23,52,98.131027806195,55404.771597954925,0.5404771597954923,2919.0456804090154,OSM,15
Zmączeni,handel,49.9900922,19.9461971,,bakery,,,active,0,19,54,107.56794763683325,55851.77521757614,0.5851775217576144,2829.6449564847712,OSM,3
Piekarnia Pawlak,handel,50.0166573,20.0021435,,bakery,,,active,13,38,83,129.49239646124408,56638.76942844559,0.6638769428445588,2672.246114310882,OSM,18
Strusinianka,handel,50.013806,19.9956575,,bakery,,,active,14,42,89,129.58875684743802,56641.640585466535,0.664164058546654,2671.671882906692,OSM,5
Gruzińska Piekarnia No1,handel,50.0140985,19.995149,,bakery,,,active,14,42,89,130.38213920769195,56665.118910930534,0.6665118910930536,2666.9762178138926,OSM,2
Piekarnia Czajczyk,handel,50.0229649,20.0507744,,bakery,,,active,2,11,43,101.3681889309213,55567.48610907183,0.5567486109071835,2886.502778185633,OSM,6
Łysa Góra,handel,50.0082459,19.9576945,,bakery,,,active,12,43,106,136.1925569031759,56828.72741822839,0.6828727418228386,2634.2545163543227,OSM,7
Zloty Kłos,handel,50.0449347,19.9310001,,bakery,,,active,11,42,84,292.8772692217446,58792.800252718014,0.8792800252718016,2241.439949456397,OSM,12
Massolit,handel,50.0459186,19.9540183,,bakery,,,active,15,46,91,313.9333420409446,58907.30520450807,0.8907305204508071,2218.538959098386,OSM,8
Gorąco Polecam,handel,50.0468441,19.973874,,bakery,,,active,5,32,91,258.9292324980307,58568.9704473449,0.8568970447344901,2286.2059105310195,OSM,1
Rękoczyny,handel,49.9964345,19.9005162,,bakery,,,active,0,8,34,108.35437930151996,55885.51184342407,0.5885511843424069,2822.897631315186,OSM,4
Awiteks,handel,50.0125609,19.9648027,,bakery,,,active,8,46,108,143.52131876932228,57016.19700621874,0.7016197006218736,2596.760598756253,OSM,18
Piekarnia Niedziela,handel,50.0257948,19.9187792,,bakery,,,active,7,47,83,175.0128515774078,57643.06694912144,0.7643066949121441,2471.3866101757117,OSM,13
Złoty Kłos,handel,50.0457173,19.9310066,,bakery,,,active,11,42,83,299.82661789322026,58832.3695423931,0.88323695423931,2233.52609152138,OSM,16
Bochenek,handel,50.0153992,19.9691817,,bakery,,,active,8,49,107,148.20136447298717,57126.211899073736,0.7126211899073739,2574.757620185252,OSM,10
Zmączeni,handel,50.0467247,19.9505723,,bakery,,,active,13,45,89,329.16752704189776,58981.0166285438,0.8981016628543805,2203.796674291239,OSM,15
Awiteks,handel,50.0366488,20.0510167,,bakery,,,active,0,5,32,108.84959470692957,55906.50563425415,0.5906505634254152,2818.6988731491692,OSM,17
ChlebON,handel,50.0382022,19.983375,,bakery,,,active,3,45,99,199.06475244571044,57988.254480730524,0.7988254480730528,2402.3491038538946,OSM,16
Piekarnia Mojego Taty,handel,50.0494418,19.9595076,,bakery,,,active,7,41,89,334.6976886540869,59006.114571598504,0.9006114571598507,2198.7770856802986,OSM,1
Chmura,handel,50.0208272,19.9603858,,bakery,,,active,7,61,105,166.6492091819802,57499.685732357706,0.7499685732357708,2500.062853528458,OSM,6
La Credenza,handel,50.0356573,19.9322316,,bakery,,,active,12,59,85,229.58861668318383,58322.19167821389,0.8322191678213886,2335.561664357223,OSM,7
Czajczyk,handel,50.0454128,19.995777,,bakery,,,active,2,14,88,191.86500340777044,57894.00103656553,0.7894001036565534,2421.199792686893,OSM,9
Dom chleba,handel,50.0170725,20.0114133,,bakery,,,active,15,35,71,123.3159959385452,56445.37597337189,0.6445375973371889,2710.9248053256224,OSM,6
bakery_12580314840,handel,50.0170399,20.0106295,,bakery,,,active,14,36,71,123.84292600878474,56462.6276920772,0.6462627692077199,2707.4744615845602,OSM,6
Steskal,handel,50.0147133,20.0000953,,bakery,,,active,13,40,82,128.04116236655577,56595.005771904805,0.6595005771904805,2680.998845619039,OSM,11
Sekrety Piekarza,handel,50.0145167,19.9496864,,bakery,,,active,10,50,103,151.74147381294125,57204.921947599025,0.7204921947599026,2559.015610480195,OSM,6
Piekarnia Mojego Taty,handel,50.0275947,19.9487909,,bakery,,,active,5,78,100,194.7498783629424,57932.60430146106,0.793260430146106,2413.479139707788,OSM,17
Gruzińska Piekarnia,handel,50.02844,19.952645,,bakery,,,active,4,78,101,197.28864751725544,57965.64231499297,0.7965642314992967,2406.8715370014065,OSM,19
Awiteks,handel,50.0280829,19.9512624,,bakery,,,active,4,79,100,196.22780909947303,57951.941178497604,0.7951941178497606,2409.6117643004786,OSM,19
Buczek,handel,50.0281288,19.9517603,,bakery,,,active,4,79,100,196.26765994029057,57952.45854486617,0.7952458544866168,2409.5082910267665,OSM,13
Chleb & More,handel,50.0280544,19.9501089,,bakery,,,active,5,78,101,196.42112300614554,57954.4489291798,0.79544489291798,2409.11021416404,OSM,16
Carmel,handel,50.011138,20.0098957,,bakery,,,active,15,33,72,117.00424869442737,56226.650907303214,0.6226650907303217,2754.6698185393566,OSM,12
Awiteks,handel,50.0216088,19.9023252,,bakery,,,active,4,21,64,149.73390593128997,57160.74295671255,0.7160742956712554,2567.851408657489,OSM,11
Awiteks,handel,49.9842093,20.0622919,,bakery,,,active,6,9,23,75.41300829430953,53869.84412491964,0.38698441249196436,3226.0311750160713,OSM,4
Pawlak,handel,49.9851675,20.0595661,,bakery,,,active,5,9,26,76.6307463842606,53975.20383668485,0.39752038366848486,3204.9592326630304,OSM,11
Złoty Kłos,handel,49.9863937,20.0737719,,bakery,,,active,4,9,19,73.17193440711992,53666.77898361878,0.3666778983618779,3266.6442032762443,OSM,9
Pawlak,handel,50.0127388,19.9266419,,bakery,,,active,4,42,85,144.41042451758545,57037.64607596515,0.7037646075965154,2592.4707848069693,OSM,7
Ignacy Polański,handel,50.0127789,19.9266554,,bakery,,,active,4,42,85,144.50562163165984,57039.92699831095,0.7039926998310946,2592.014600337811,OSM,4
Breaking Bread,handel,50.037744,19.9412613,,bakery,,,active,10,56,90,249.42424507729768,58495.383328332624,0.8495383328332625,2300.923334333475,OSM,12
Przepyszności,handel,50.0438316,19.9876298,,bakery,,,active,3,27,94,207.15918681921127,58086.3971679115,0.8086397167911495,2382.720566417701,OSM,18
ChlebON,handel,50.0157159,20.0248859,,bakery,,,active,6,31,58,112.51571371259166,56056.17625750309,0.605617625750309,2788.764748499382,OSM,13
Pawlak,handel,50.0122303,19.9564967,,bakery,,,active,15,47,107,145.09881251666243,57054.07241914828,0.7054072419148278,2589.1855161703443,OSM,12
Piekarnia Piętka,handel,50.0246322,19.9119405,,bakery,,,active,6,41,74,165.50467304789493,57478.93726628911,0.7478937266289113,2504.2125467421774,OSM,17
Piekarnia Cukiernia Zaborowscy,handel,50.0163686,19.9490943,,bakery,,,active,10,52,101,156.68689631828278,57308.92268754666,0.7308922687546666,2538.215462490667,OSM,16
Awiteks,handel,50.0454936,19.9301115,,bakery,,,active,10,42,81,295.37310578619486,58807.2257080781,0.8807225708078095,2238.554858384381,OSM,14
Chmura,handel,50.0234942,19.9800503,,bakery,,,active,8,55,105,160.74756330731353,57389.53294399797,0.7389532943997966,2522.093411200407,OSM,18
Awiteks,handel,50.0313277,19.9208974,,bakery,,,active,7,51,85,196.44467798030618,57954.75415704504,0.7954754157045041,2409.049168590992,OSM,6
Rękoczyny,handel,50.0434951,19.9255978,,bakery,,,active,9,43,77,267.76179530444324,58632.66863022224,0.8632668630222233,2273.4662739555533,OSM,15
Złoty Kłos,handel,50.0428092,19.9314519,,bakery,,,active,12,43,84,276.29750563602096,58690.35644621898,0.8690356446218981,2261.9287107562036,OSM,17
Domino,handel,50.0434004,19.9467307,,bakery,,,active,13,47,90,296.59258570591584,58814.185775042366,0.8814185775042364,2237.1628449915274,OSM,3
bakery_328481271,handel,50.0168025,20.0995175,,bakery,,,active,0,0,13,75.4557661561051,53873.601177601384,0.38736011776013857,3225.279764479723,OSM,9
bakery_336407575,handel,49.9628757,20.0757174,,bakery,,,active,0,7,9,63.784605929042556,52661.11798893565,0.2661117988935653,3467.7764022128695,OSM,17
Złoty Kłos,handel,49.9823212,20.0676499,,bakery,,,active,6,9,20,73.12069119406381,53661.990240587445,0.3661990240587445,3267.601951882511,OSM,1
Iwona,handel,50.0329895,19.9699855,,bakery,,,active,1,64,104,201.95194170804393,58024.16344318771,0.8024163443187708,2395.1673113624583,OSM,17
Chmura,handel,50.0333481,19.9718135,,bakery,,,active,2,62,102,200.91256946894876,58011.35530583478,0.8011355305834782,2397.7289388330437,OSM,15
Chleb Się Piecze,handel,50.019132,20.0514192,,bakery,,,active,2,12,43,98.67853540837096,55433.04194340946,0.5433041943409461,2913.3916113181076,OSM,10
Chmura,handel,50.0079823,19.9534249,,bakery,,,active,12,38,105,136.3259691964733,56832.32022521403,0.6832320225214031,2633.5359549571936,OSM,9
Awiteks,handel,50.0141355,20.0084014,,bakery,,,active,17,33,69,121.66887130847199,56390.48542472027,0.6390485424720265,2721.9029150559472,OSM,12
Ignacy Polański,handel,50.0361059,19.9399663,,bakery,,,active,9,58,90,238.10841911650232,58400.11625017191,0.8400116250171907,2319.9767499656186,OSM,1
Piekarnia u Chlebusia,handel,50.0049841,20.009512,,bakery,,,active,2,32,71,110.10598705369351,55958.920869069785,0.5958920869069785,2808.215826186043,OSM,6
Złoty Kłos,handel,50.013358,19.9654312,,bakery,,,active,8,47,107,145.08552954465156,57053.756935173056,0.7053756935173057,2589.248612965389,OSM,11
Dom Chleba,handel,49.9820062,20.0612999,,bakery,,,active,5,9,23,74.6671095160889,53803.61114498128,0.3803611144981278,3239.2777710037444,OSM,15
Bread & Spread,handel,50.0129,19.9793165,,bakery,,,active,10,52,96,137.7484015928409,56870.19381554852,0.687019381554852,2625.9612368902963,OSM,17
Piątka,handel,50.0167045,20.0073964,,bakery,,,active,15,34,71,125.74593490519683,56523.728318716916,0.6523728318716918,2695.2543362566166,OSM,5
Piątka,handel,50.0146503,19.9502909,,bakery,,,active,12,51,104,152.0199239753342,57210.95743949243,0.7210957439492425,2557.8085121015147,OSM,7
Awiteks Piekarnia-Cukiernia,handel,50.0134467,19.9319547,,bakery,,,active,4,43,88,147.6068173617436,57112.62258114652,0.711262258114652,2577.475483770696,OSM,12
J.W.,usługi kosmetyczne,50.0155358,20.0196734,,hairdresser,,,active,14,37,75,115.78002918665524,56181.46593577099,0.6181465935770987,2763.7068128458027,OSM,3
AN,usługi kosmetyczne,50.0161391,20.0200405,,hairdresser,,,active,13,37,74,116.17622179457712,56196.19331497886,0.6196193314978857,2760.7613370042286,OSM,6
"Studio urody ""Warsztat""",usługi kosmetyczne,50.0443028,19.9729869,,hairdresser,,,active,11,66,129,248.59174129101083,58488.67010865545,0.8488670108655455,2302.265978268909,OSM,2
hairdresser_1480530141,usługi kosmetyczne,50.0447002,19.9508253,,hairdresser,,,active,40,78,124,306.5200094006788,58868.78512114879,0.886878512114879,2226.242975770242,OSM,13
hairdresser_1480534374,usługi kosmetyczne,50.0451252,19.9516833,,hairdresser,,,active,39,77,124,309.7603251647749,58885.84880186309,0.8885848801863091,2222.830239627382,OSM,10
Ela,usługi kosmetyczne,50.0284196,19.934495,,hairdresser,,,active,5,96,131,195.95004100245765,57948.32918920528,0.7948329189205279,2410.3341621589443,OSM,10
Paradise,usługi kosmetyczne,50.0285364,19.9171629,,hairdresser,,,active,11,63,118,182.29346642318058,57757.16993696698,0.7757169936966981,2448.566012606604,OSM,1
hairdresser_1848347898,usługi kosmetyczne,50.0112684,20.0091034,,hairdresser,,,active,21,33,81,117.63895745621218,56249.707317951106,0.6249707317951104,2750.058536409779,OSM,3
Salon Fryzjerski Teresa,usługi kosmetyczne,50.0130044,20.0121262,,hairdresser,,,active,22,36,79,117.8554804857885,56257.515917469005,0.6257515917469005,2748.4968165061987,OSM,2
Vena Salon Fryzjerski,usługi kosmetyczne,49.9877521,20.0426457,,hairdresser,,,active,4,14,47,83.06170523185482,54480.37882072946,0.4480378820729458,3103.9242358541082,OSM,4
Salon fryzur Alicja,usługi kosmetyczne,49.9913847,20.0408347,,hairdresser,,,active,2,19,52,85.87091890949364,54677.30698180846,0.46773069818084667,3064.538603638307,OSM,11
"""Monari"" - salon fryzur i urody",usługi kosmetyczne,50.0284926,19.9240831,,hairdresser,,,active,11,80,124,188.8861952581084,57852.90342781926,0.7852903427819263,2429.4193144361475,OSM,2
"""KLEON"" - salon fryzjerski",usługi kosmetyczne,50.0295083,19.9232348,,hairdresser,,,active,11,80,124,191.92154464173032,57894.76877943341,0.7894768779433412,2421.0462441133177,OSM,13
Viking,usługi kosmetyczne,50.0440764,19.947045,,hairdresser,,,active,36,78,122,303.22486433532436,58851.05870656085,0.8851058706560851,2229.7882586878295,OSM,3
Studio Nova Hair,usługi kosmetyczne,50.0441252,19.9469818,,hairdresser,,,active,36,78,121,303.7497000184466,58853.907839350504,0.8853907839350508,2229.2184321298987,OSM,10
hairdresser_2135606462,usługi kosmetyczne,50.0490967,19.9377488,,hairdresser,,,active,22,70,116,355.7974685612103,59094.70613430185,0.9094706134301848,2181.0587731396304,OSM,8
Paweł & Renata Strama,usługi kosmetyczne,50.0476069,19.9536399,,hairdresser,,,active,35,72,123,333.52827301376044,59000.876715841805,0.9000876715841803,2199.824656831639,OSM,1
Atelier Magdalena Woźniak,usługi kosmetyczne,50.0184173,20.0050344,,hairdresser,,,active,16,38,98,129.90060486772305,56650.90321935647,0.665090321935647,2669.819356128706,OSM,3
Stara Fryzjernia,usługi kosmetyczne,50.0184002,19.9053429,,hairdresser,,,active,9,34,105,145.43692579224236,57062.08354737741,0.7062083547377416,2587.583290524517,OSM,5
Barry Men,usługi kosmetyczne,50.0455692,19.9824923,,hairdresser,,,active,5,52,126,226.29386800391572,58290.4836555653,0.8290483655565302,2341.9032688869397,OSM,4
Studio Effect,usługi kosmetyczne,50.040145,19.9255005,,hairdresser,,,active,10,81,116,246.01197850735377,58467.57863973256,0.846757863973256,2306.484272053488,OSM,11
Natalia,usługi kosmetyczne,50.0413539,19.9263425,,hairdresser,,,active,11,78,115,255.24643043566346,58541.10874676452,0.8541108746764519,2291.7782506470962,OSM,13
Diego,usługi kosmetyczne,49.9829852,20.0599001,,hairdresser,,,active,7,14,34,75.50072096428089,53877.54668281184,0.38775466828118343,3224.490663437633,OSM,2
hairdresser_3038956867,usługi kosmetyczne,49.9821303,20.0586483,,hairdresser,,,active,7,14,34,75.43619369271042,53871.881910734366,0.3871881910734367,3225.6236178531262,OSM,6
hairdresser_3041577321,usługi kosmetyczne,50.0222869,19.9102422,,hairdresser,,,active,13,43,115,157.99309791481775,57335.304791165145,0.7335304791165145,2532.939041766971,OSM,8
Salon fryzjerski PIERRE,usługi kosmetyczne,50.0485572,19.9259422,,hairdresser,,,active,12,69,105,307.4695583644067,58873.82275286124,0.8873822752861243,2225.235449427751,OSM,17
SalOn i Ona,usługi kosmetyczne,50.0452909,19.9289178,,hairdresser,,,active,12,72,114,290.30963483958413,58777.700978555935,0.8777700978555933,2244.4598042888133,OSM,4
Fryzjer/kosmetyka,usługi kosmetyczne,49.9844167,19.9442557,,hairdresser,,,active,4,17,47,100.73279073610937,55536.37299883953,0.5536372998839527,2892.7254002320947,OSM,18
Salon fryzjerski Trendy,usługi kosmetyczne,50.0082643,19.9601345,,hairdresser,,,active,12,39,150,135.72618382846804,56816.11244126701,0.681611244126701,2636.777511746598,OSM,10
Juli Hair,usługi kosmetyczne,50.0082057,19.9607272,,hairdresser,,,active,12,39,149,135.47360908051687,56809.24426245386,0.6809244262453863,2638.1511475092275,OSM,15
Wyczesani,usługi kosmetyczne,50.008197,19.960805,,hairdresser,,,active,12,39,149,135.43815022120356,56808.27799122051,0.6808277991220509,2638.344401755898,OSM,4
Dżentelmen,usługi kosmetyczne,50.0085445,19.9493462,,hairdresser,,,active,11,39,144,137.89456796341656,56874.04136084135,0.687404136084135,2625.19172783173,OSM,16
Irus Studio,usługi kosmetyczne,50.0123125,19.9268281,,hairdresser,,,active,4,52,123,143.5123855826764,57015.98015063338,0.7015980150633383,2596.8039698733232,OSM,10
Fryzjerstwo AN,usługi kosmetyczne,50.0122083,19.9265684,,hairdresser,,,active,4,52,122,143.1966673297533,57008.29862647152,0.7008298626471523,2598.3402747056953,OSM,16
Fryzjer,usługi kosmetyczne,50.0204214,19.9679344,,hairdresser,,,active,6,66,151,161.58203207404637,57405.59653457712,0.740559653457712,2518.880693084576,OSM,11
Salonik Matrix,usługi kosmetyczne,50.0137098,20.04241,,hairdresser,,,active,5,37,55,100.25517725642685,55512.72638797367,0.5512726387973669,2897.4547224052662,OSM,10
hairdresser_4728020761,usługi kosmetyczne,50.0159688,20.050602,,hairdresser,,,active,7,24,51,97.21601467417791,55356.81446955254,0.5356814469552538,2928.6371060894926,OSM,1
Studio Fryzur Haka,usługi kosmetyczne,50.0430664,19.9454051,,hairdresser,,,active,38,79,121,293.62363191380206,58797.13978830293,0.8797139788302928,2240.572042339414,OSM,18
Salon Fryzjerski Margaret,usługi kosmetyczne,49.9936504,19.9461053,,hairdresser,,,active,3,26,75,112.35008837431984,56049.625218503286,0.6049625218503287,2790.0749562993424,OSM,16
Kreator,usługi kosmetyczne,50.008887,19.9487969,,hairdresser,,,active,11,40,144,138.65694548865304,56893.9779703216,0.6893977970321599,2621.2044059356804,OSM,7
Kajetan Mardosz,usługi kosmetyczne,50.0485837,19.963111,,hairdresser,,,active,24,69,124,311.5468289291819,58895.1048331368,0.8895104833136801,2220.9790333726396,OSM,6
hairdresser_5115878692,usługi kosmetyczne,50.0490958,19.9595232,,hairdresser,,,active,24,70,119,330.98535425889037,58989.35914061953,0.8989359140619528,2202.1281718760943,OSM,12
Salon de Paris,usługi kosmetyczne,50.0476122,19.952702,,hairdresser,,,active,35,72,123,335.79162106834127,59010.98130915471,0.9010981309154708,2197.8037381690583,OSM,19
Kesner,usługi kosmetyczne,50.0469606,19.9513286,,hairdresser,,,active,38,74,123,330.73010685938215,58988.1932741231,0.89881932741231,2202.36134517538,OSM,8
Fryzjer i solarium,usługi kosmetyczne,50.0297416,19.9177377,,hairdresser,,,active,10,65,119,187.00733224844802,57826.30804370961,0.782630804370961,2434.738391258078,OSM,13
Golden Eagle,usługi kosmetyczne,50.0397703,19.9420271,,hairdresser,,,active,22,83,124,264.53833145075225,58609.9147437048,0.8609914743704798,2278.0170512590403,OSM,6
hairdresser_5420844152,usługi kosmetyczne,50.0169633,19.9881979,,hairdresser,,,active,10,52,128,140.06733203495412,56930.288256827625,0.6930288256827625,2613.942348634475,OSM,16
Salon Fryzur,usługi kosmetyczne,50.0180912,19.9862686,,hairdresser,,,active,5,53,136,143.6367772956768,57018.99736673465,0.7018997366734647,2596.2005266530705,OSM,18
Timberwolf,usługi kosmetyczne,50.0167602,20.0018287,,hairdresser,,,active,16,38,114,129.8747224443976,56650.1361420498,0.6650136142049801,2669.97277159004,OSM,12
Basia,usługi kosmetyczne,50.0171484,20.0065421,,hairdresser,,,active,18,37,89,126.97515195127473,56562.221684193224,0.6562221684193225,2687.5556631613554,OSM,13
Studio 3 przez 3,usługi kosmetyczne,50.0126324,19.9103156,,hairdresser,,,active,4,34,106,137.03708299399088,56851.35257496742,0.6851352574967425,2629.729485006515,OSM,1
hairdresser_5871876298,usługi kosmetyczne,50.0414133,19.9266968,,hairdresser,,,active,12,78,116,256.38245859008316,58549.788574656646,0.8549788574656645,2290.042285068671,OSM,13
hairdresser_5902697047,usługi kosmetyczne,50.0153618,20.0097145,,hairdresser,,,active,20,35,77,122.34871001896617,56413.32021463494,0.6413320214634944,2717.335957073011,OSM,16
hairdresser_5970601031,usługi kosmetyczne,50.0162619,20.0010381,,hairdresser,,,active,16,41,116,129.70026817168358,56644.95785515144,0.6644957855151443,2671.0084289697115,OSM,13
Merry,usługi kosmetyczne,50.0146194,19.9998952,,hairdresser,,,active,16,42,109,128.03639794018596,56594.86046121368,0.6594860461213676,2681.0279077572645,OSM,12
Studio Fryzjerskie 17.,usługi kosmetyczne,50.0214996,19.9793243,,hairdresser,,,active,6,55,142,156.4239490445332,57303.55851483041,0.7303558514830409,2539.288297033918,OSM,14
Caprice,usługi kosmetyczne,50.0460329,19.9555533,,hairdresser,,,active,34,77,127,311.70175041857294,58895.902495483046,0.8895902495483043,2220.819500903391,OSM,4
hairdresser_6319484693,usługi kosmetyczne,50.0325012,19.971619,,hairdresser,,,active,2,83,142,197.8801961212022,57973.21859488279,0.7973218594882792,2405.3562810234416,OSM,1
HAKA,usługi kosmetyczne,50.0431348,19.9451798,,hairdresser,,,active,39,78,121,294.2929079331108,58801.012404574685,0.8801012404574684,2239.7975190850634,OSM,11
EG,usługi kosmetyczne,50.0205412,19.9876488,,hairdresser,,,active,5,55,139,147.53455694716652,57110.96348986865,0.7110963489868651,2577.80730202627,OSM,17
Bonnie & Clyde,usługi kosmetyczne,50.0449086,19.952346,,hairdresser,,,active,39,77,126,306.52916629305946,58868.83385014667,0.8868833850146673,2226.2332299706654,OSM,1
Fryzoteka z Kazimierza,usługi kosmetyczne,50.0376155,19.9664377,,hairdresser,,,active,4,80,140,228.39927231298748,58310.85116893532,0.831085116893532,2337.829766212936,OSM,15
Barber Hairstyle Avenue Automobileclub Barber,usługi kosmetyczne,50.0227533,19.9012926,,hairdresser,,,active,10,34,101,151.2356006778948,57193.90012828453,0.719390012828453,2561.219974343094,OSM,9
Studio fryzur J&J,usługi kosmetyczne,50.0039335,19.9051776,,hairdresser,,,active,3,23,68,120.0313283125644,56334.42083804998,0.6334420838049978,2733.1158323900045,OSM,6
hairdresser_6468738799,usługi kosmetyczne,50.0165484,20.0120062,,hairdresser,,,active,20,38,77,122.23550003904163,56409.535283609905,0.6409535283609904,2718.0929432780194,OSM,4
Metamorfozy,usługi kosmetyczne,50.0201842,20.050861,,hairdresser,,,active,7,22,50,99.64040202004249,55481.9552123101,0.5481955212310103,2903.608957537979,OSM,18
Biostyl2,usługi kosmetyczne,50.0344701,19.9329827,,hairdresser,,,active,17,90,126,223.753812985456,58265.40120890588,0.8265401208905878,2346.9197582188244,OSM,14
hairdresser_6605286409,usługi kosmetyczne,49.9999428,19.9123275,,hairdresser,,,active,3,28,67,116.69432339088823,56215.301434799345,0.6215301434799345,2756.939713040131,OSM,15
Zakład Fryzjerski Manicure Pedicure,usługi kosmetyczne,49.9928617,20.0425439,,hairdresser,,,active,2,20,51,86.20742477846055,54700.03553887706,0.4700035538877063,3059.992892224587,OSM,8
Barberwizja,usługi kosmetyczne,50.0402788,19.9423072,,hairdresser,,,active,26,82,123,268.6503176816536,58638.844560785175,0.8638844560785176,2272.231087842965,OSM,17
Janina,usługi kosmetyczne,50.0400772,19.9425291,,hairdresser,,,active,24,82,124,267.12198158146185,58628.19597608623,0.862819597608623,2274.360804782754,OSM,19
Studio Fryzur EFEKT,usługi kosmetyczne,50.0384191,19.9416936,,hairdresser,,,active,18,84,125,254.33498692970662,58534.0887974717,0.8534088797471696,2293.182240505661,OSM,2
Salon Fryzjersko-Kosmetyczny A&S,usługi kosmetyczne,50.0497865,19.9426515,,hairdresser,,,active,29,73,117,374.9869719763393,59166.62034319542,0.916662034319542,2166.675931360916,OSM,14
Kreator,usługi kosmetyczne,50.0212345,19.9094027,,hairdresser,,,active,12,39,114,154.77770135584333,57269.56050115727,0.7269560501157272,2546.087899768546,OSM,8
Stara Fryzjernia,usługi kosmetyczne,50.0164777,20.0059648,,hairdresser,,,active,17,37,89,126.46970796937049,56546.484110478894,0.6546484110478896,2690.703177904221,OSM,19
Strefa Piękna,usługi kosmetyczne,49.9967283,20.0681439,,hairdresser,,,active,0,20,41,79.38260831999236,54201.39114118683,0.4201391141186829,3159.7217717626345,OSM,12
"Salon fryzjerski ""Marcin""",usługi kosmetyczne,49.988122,20.055363,,hairdresser,,,active,8,13,46,79.33756483312524,54197.81513899909,0.41978151389990903,3160.436972200182,OSM,7
Margaret,usługi kosmetyczne,49.9811146,19.9440116,,hairdresser,,,active,1,5,36,97.13886554332127,55352.729675157534,0.5352729675157534,2929.454064968493,OSM,18
Róża,usługi kosmetyczne,49.9918392,19.9457958,,hairdresser,,,active,4,26,70,109.86655812468537,55949.02463011028,0.5949024630110283,2810.195073977943,OSM,13
hairdresser_8484248771,usługi kosmetyczne,50.0186521,20.0345436,,hairdresser,,,active,3,33,61,108.79108959408762,55904.03536847035,0.5904035368470351,2819.19292630593,OSM,1
hairdresser_8979602817,usługi kosmetyczne,50.0414082,19.9266531,,hairdresser,,,active,11,78,116,256.2567678158127,58548.83202008003,0.854883202008003,2290.233595983994,OSM,4
Galiński Hair Stylist,usługi kosmetyczne,50.0395498,19.9413898,,hairdresser,,,active,23,83,122,262.57551541955416,58595.78589534108,0.8595785895341084,2280.8428209317835,OSM,17
Piłatowski,usługi kosmetyczne,50.0498118,19.9373532,,hairdresser,,,active,19,69,115,364.54092146130824,59128.41187212759,0.9128411872127588,2174.3176255744825,OSM,13
"Fryzjer ""Pod Jedynką""",usługi kosmetyczne,50.0456383,19.9305302,,hairdresser,,,active,17,72,115,297.8046628673808,58821.047107906896,0.8821047107906899,2235.7905784186205,OSM,18
Milbon,usługi kosmetyczne,50.0454065,19.9330306,,hairdresser,,,active,28,72,116,302.18197283452474,58845.3678744966,0.8845367874496601,2230.92642510068,OSM,4
Fryzjer ANNA,usługi kosmetyczne,50.0207733,19.9049677,,hairdresser,,,active,11,34,104,150.16113169686253,57170.24352873569,0.7170243528735692,2565.9512942528618,OSM,15
Bart's Barbershop,usługi kosmetyczne,50.0232849,20.0507818,,hairdresser,,,active,6,20,51,101.55498448173877,55576.55874744476,0.5576558747444759,2884.688250511048,OSM,5
Renée Blanche,usługi kosmetyczne,50.0460242,19.9565229,,hairdresser,,,active,31,74,127,309.24701636886624,58883.16952619001,0.8883169526190009,2223.3660947619983,OSM,7
Ania Sroka,usługi kosmetyczne,50.0491517,19.943294,,hairdresser,,,active,32,73,117,365.8746443673549,59133.411722573546,0.9133411722573546,2173.3176554852907,OSM,18
Agnieszka Kubacka,usługi kosmetyczne,50.0211999,19.9600643,,hairdresser,,,active,3,75,151,167.92127894821317,57522.41429357979,0.7522414293579793,2495.5171412840414,OSM,12
Precise Empire,usługi kosmetyczne,50.0467198,19.9539084,,hairdresser,,,active,35,74,125,322.7863043661524,58950.98756286504,0.8950987562865043,2209.8024874269913,OSM,9
hairdresser_10723917459,usługi kosmetyczne,50.0447073,19.9568293,,hairdresser,,,active,32,77,129,296.02453720063943,58810.950826143475,0.8810950826143475,2237.809834771305,OSM,2
Barber Neroo,usługi kosmetyczne,50.0402864,19.9862493,,hairdresser,,,active,6,55,127,199.78630491694628,57997.32595430975,0.7997325954309749,2400.53480913805,OSM,16
Fryzjer Kosmetyka,usługi kosmetyczne,50.0117371,19.9700514,,hairdresser,,,active,7,44,149,139.7629404621509,56922.51373399371,0.6922513733993707,2615.4972532012584,OSM,5
Fryzjer Męski,usługi kosmetyczne,50.0263951,19.9121067,,hairdresser,,,active,15,51,115,170.53162982870597,57567.99260347048,0.756799260347048,2486.401479305904,OSM,1
ASH,usługi kosmetyczne,50.0378347,19.9395172,,hairdresser,,,active,17,85,122,249.2009862402799,58493.58739488335,0.8493587394883344,2301.2825210233314,OSM,9
